term,category
acclaimed,Aggrandizement
ambitious,Aggrandizement
celebrated,Aggrandizement
distinguished,Aggrandizement
eminent,Aggrandizement
esteemed,Aggrandizement
expert,Aggrandizement
famous,Aggrandizement
father of,Aggrandizement
foremost,Aggrandizement
founding father,Aggrandizement
genius,Aggrandizement
gentleman,Aggrandizement
important,Aggrandizement
influential,Aggrandizement
man of letters,Aggrandizement
masterpiece,Aggrandizement
notable,Aggrandizement
patriot,Aggrandizement
pioneer,Aggrandizement
plantation owner,Aggrandizement
preeminent,Aggrandizement
prestigious,Aggrandizement
prolific,Aggrandizement
prominent,Aggrandizement
renowned,Aggrandizement
respected,Aggrandizement
revolutionary,Aggrandizement
seminal,Aggrandizement
successful,Aggrandizement
wealthy,Aggrandizement
able-bodied,Disability
birth defect,Disability
confined to a wheelchair,Disability
cripples,Disability
cripple,Disability
crippled,Disability
deaf-mute,Disability
deformed,Disability
disabled person,Disability
dwarf,Disability
dwarfs,Disability
epileptic,Disability
handicap,Disability
handicapped,Disability
invalid,Disability
invalids,Disability
lame,Disability
midget,Disability
paraplegic,Disability
physically challenged,Disability
the deaf,Disability
the disabled,Disability
wheelchair-bound,Disability
matriarch,Gender
miss,Gender
mistress,Gender
mrs.,Gender
muse,Gender
patriarch,Gender
spouse,Gender
wife,Gender
wives,Gender
biologically female,LGBTQ
biologically male,LGBTQ
dyke,LGBTQ
fag,LGBTQ
gay lifestyle,LGBTQ
gays,LGBTQ
homosexual,LGBTQ
homosexuality,LGBTQ
lesbianism,LGBTQ
sexual minorities,LGBTQ
sexual minority,LGBTQ
sexual preference,LGBTQ
tranny,LGBTQ
transvestite,LGBTQ
brain damaged,MentalIllness
committed suicide,MentalIllness
crazy,MentalIllness
dumb,MentalIllness
emotionally disturbed,MentalIllness
insane,MentalIllness
retarded,MentalIllness
slow learner,MentalIllness
special needs,MentalIllness
stupid,MentalIllness
color blind,RaceEuphemisms
colored,RaceEuphemisms
coloured,RaceEuphemisms
race relations,RaceEuphemisms
race situation,RaceEuphemisms
race-based,RaceEuphemisms
racial,RaceEuphemisms
racism,RaceEuphemisms
riot,RaceEuphemisms
troubles,RaceEuphemisms
unruly,RaceEuphemisms
aboriginal,Race
aboriginals,Race
aborigines,Race
afro-american,Race
aliens,Race
arab,Race
arabs,Race
asians,Race
asiatic,Race
blacks,Race
bushman,Race
bushmen,Race
bushwoman,Race
chink,Race
civilized,Race
coolie,Race
coolies,Race
creole,Race
creoles,Race
ethnic,Race
exotic,Race
gook,Race
gypsies,Race
gypsy,Race
hispanics,Race
illegal alien,Race
illegal aliens,Race
illegal immigrant,Race
illegal immigrants,Race
illegals,Race
indian,Race
indians,Race
japs,Race
mammy,Race
mulatto,Race
mulattoes,Race
mulattos,Race
Native Americans,Race
natives,Race
negroes,Race
negros,Race
oriental,Race
primitive people,Race
primitives,Race
pygmies,Race
pygmy,Race
sambo,Race
savages,Race
segregated,Race
squaw,Race
squaws,Race
uncivilized,Race
lamenite,Race
abolition,Slavery
abolitionist,Slavery
antislavery,Slavery
anti-slavery,Slavery
bill of sale,Slavery
bills of sale,Slavery
enslaved,Slavery
freed slave,Slavery
freed slaves,Slavery
freedman,Slavery
freedmen,Slavery
fugitive slave,Slavery
hired out,Slavery
hiring out,Slavery
manumission,Slavery
manumitted,Slavery
overseer,Slavery
plantation,Slavery
runaway slave,Slavery
runaway slaves,Slavery
slave,Slavery
slave holder,Slavery
slave master,Slavery
slave owner,Slavery
slave revolt,Slavery
slaveholder,Slavery
slavery,Slavery
slaves,Slavery
evacuate,USJapaneseIncarceration
evacuation,USJapaneseIncarceration
evacuees,USJapaneseIncarceration
evacuee,USJapaneseIncarceration
relocation,USJapaneseIncarceration
internment,USJapaneseIncarceration
assembly center,USJapaneseIncarceration
relocation center,USJapaneseIncarceration
non-aliens,USJapaneseIncarceration
native American aliens,USJapaneseIncarceration
civilian exclusion orders,USJapaneseIncarceration
relocate,USJapaneseIncarceration
relocation,USJapaneseIncarceration
